company,opened,n,fit,sample,link
Astranis,2026-09-22,6,CHIP,FPGA Intern (Winter 2027),https://job-boards.greenhouse.io/astranis/jobs/4704803006
Nokia,2026-09-22,3,CHIP,Photonic Integrated Circuits Test Coop,https://www.linkedin.com/jobs/view/4468950456
Flagship Pioneering,2026-09-23,1,CHIP,Analytical Characterization / Protein Science Co-op,https://simplify.jobs/jobs/click/4f4e536a-1c11-425a-84de-2a9e0512a60c
Sanofi,2026-09-23,1,CHIP,mRNA Drug Substance Process Characterization Data Analytics and Visualization Co-op,https://simplify.jobs/jobs/click/f3b98ad2-775f-49d5-9a53-90a4dd71ee7b
Panther Life Sciences,2026-09-23,1,CHIP,Device Engineer Intern/Co-op,https://simplify.jobs/jobs/click/377a2a22-6017-4f3f-9fc2-3793bd76e16d
Astranis Space Technologies,2026-09-24,3,CHIP,FPGA Intern (Winter 2027),https://www.linkedin.com/jobs/view/4471179719
Marvell,2026-09-24,2,CHIP,Analog Design Intern - BS - 2027 Co-Op,https://marvell.wd1.myworkdayjobs.com/MarvellCareers/job/Analog-Design-Intern---BS---2027-Co-Op_2604788
SK hynix memory solutions America Inc.,2026-09-25,1,CHIP,TOP Design Verification Engineer Intern,https://www.linkedin.com/jobs/view/4462870407
onsemi,2026-09-25,2,CHIP,Spring 2027 - Validation Engineering Intern,https://hctz.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/2506611
ITT,2026-09-19,1,HARDWARE,Hardware & Indirect Sourcing Co-op,https://simplify.jobs/jobs/click/56777104-ded5-413e-80ec-8048ad9ecbd1
Rehlko,2026-09-19,1,HARDWARE,Electrical Engineer Co-op,https://simplify.jobs/jobs/click/be56f081-e771-48ce-91c0-2dbe016ccb1f
Analogic,2026-09-21,1,HARDWARE,Hardware/Software Engineering Co-Op,https://www.linkedin.com/jobs/view/4469950947
Moog,2026-09-22,1,HARDWARE,"Intern, Test Engineering",https://moog.wd5.myworkdayjobs.com/MOOG_External_Career_Site/job/Buffalo-NY/Intern--Test-Engineering_R-26-20243-1
