status,rank,term,company,title,location,tier,hw,posted,first_seen,last_seen,nu_connection,notes,url,sources
new,A,spring,1X,Internship - Manufacturing Engineering,"San Carlos, CA",startup,maybe,2026-09-14,2026-09-18,2026-09-25,,,https://jobs.ashbyhq.com/1x/d687b375-8136-4e6f-baa6-369b89366050,ashby
new,A,spring,Ameren,Electrical Engineering Spring Co-Op,"St Louis, MO",,electrical engineering,2026-09-23,2026-09-23,2026-09-25,,,https://www.linkedin.com/jobs/view/4451954677,jobspy:linkedin
new,A,spring,Anduril,Electrical Engineer Co-op,"Quincy, MA, USA; Costa Mesa, CA, USA",,electrical engineer,2026-09-15,2026-09-18,2026-09-25,,,https://simplify.jobs/jobs/click/7facf78c-a3d2-4cd9-bbbe-c1673f0e7b99,internlist:coop
new,A,spring,Anduril,Winter 2027 EWIS Harness Engineer Co-op,"Costa Mesa, California, United States",big,maybe,2026-09-24,2026-09-18,2026-09-25,,,https://boards.greenhouse.io/andurilindustries/jobs/5236577007?gh_jid=5236577007,greenhouse
new,A,spring,Anduril,Winter 2027 Electrical Engineer Co-op,"Costa Mesa, California, United States; Quincy, Massachusetts, United States",big,electrical engineer,2026-09-24,2026-09-17,2026-09-25,,,https://boards.greenhouse.io/andurilindustries/jobs/5236565007?gh_jid=5236565007,github:hardware-internships-2027+greenhouse
new,A,spring,Anduril,Winter 2027 Manufacturing Engineer Co-op,"Lexington, Massachusetts, United States; Quincy, Massachusetts, United States",big,maybe,2026-09-24,2026-09-18,2026-09-25,,,https://boards.greenhouse.io/andurilindustries/jobs/5236589007?gh_jid=5236589007,greenhouse
new,A,spring,Anduril,Winter 2027 Propulsion Engineer Co-op,"Costa Mesa, California, United States",big,maybe,2026-09-24,2026-09-18,2026-09-25,,,https://boards.greenhouse.io/andurilindustries/jobs/5236587007?gh_jid=5236587007,greenhouse
new,A,spring,Anduril,Winter 2027 Systems Engineer Co-op,"Quincy, Massachusetts, United States",big,maybe,2026-09-24,2026-09-18,2026-09-25,,,https://boards.greenhouse.io/andurilindustries/jobs/5236599007?gh_jid=5236599007,greenhouse
new,A,spring,Anduril,Winter 2027 Test & Evaluation Engineer Co-op,"Costa Mesa, California, United States",big,maybe,2026-09-24,2026-09-18,2026-09-25,,,https://boards.greenhouse.io/andurilindustries/jobs/5236583007?gh_jid=5236583007,greenhouse
new,A,spring,Anduril,Winter 2027 Warhead Engineer Co-op,"Costa Mesa, California, United States",big,maybe,2026-09-24,2026-09-18,2026-09-25,,,https://boards.greenhouse.io/andurilindustries/jobs/5236585007?gh_jid=5236585007,greenhouse
