company,tier,ats,status,last_cycle_first_seen,expect
ASML,big,workday,no spring/co-op posting yet,,unknown; scraper records first-seen dates from now on
Aeva,big,lever,no spring/co-op posting yet,,unknown; scraper records first-seen dates from now on
Allegro MicroSystems,big,workday,no spring/co-op posting yet,,unknown; scraper records first-seen dates from now on
Alphawave Semi,big,workday,no spring/co-op posting yet,,unknown; scraper records first-seen dates from now on
Ambarella,big,workday,no spring/co-op posting yet,,unknown; scraper records first-seen dates from now on
Analog Devices,big,workday,no spring/co-op posting yet,,unknown; scraper records first-seen dates from now on
Anthropic,big,greenhouse,no spring/co-op posting yet,,unknown; scraper records first-seen dates from now on
Applied Intuition,big,ashby,no spring/co-op posting yet,,unknown; scraper records first-seen dates from now on
Arm,big,icims,no spring/co-op posting yet,,unknown; scraper records first-seen dates from now on
Boeing,big,workday,no spring/co-op posting yet,,unknown; scraper records first-seen dates from now on
Bose,big,workday,no spring/co-op posting yet,,unknown; scraper records first-seen dates from now on
Boston Dynamics,big,workday,no spring/co-op posting yet,,unknown; scraper records first-seen dates from now on
Broadcom,big,workday,no spring/co-op posting yet,,unknown; scraper records first-seen dates from now on
Cadence,big,workday,no spring/co-op posting yet,,unknown; scraper records first-seen dates from now on
Cisco,big,workday,no spring/co-op posting yet,,unknown; scraper records first-seen dates from now on
Commonwealth Fusion Systems,big,lever,no spring/co-op posting yet,,unknown; scraper records first-seen dates from now on
Curtiss-Wright,big,workday,no spring/co-op posting yet,,unknown; scraper records first-seen dates from now on
DRW,big,greenhouse,no spring/co-op posting yet,,unknown; scraper records first-seen dates from now on
Dell,big,workday,FETCHER FAILING for 48 runs: HTTPError: HTTP Error 422: Unprocessable Entity,,unknown; scraper records first-seen dates from now on
FormFactor,big,workday,no spring/co-op posting yet,,unknown; scraper records first-seen dates from now on
Garmin,big,icims,no spring/co-op posting yet,,unknown; scraper records first-seen dates from now on
Glydways,big,greenhouse,no spring/co-op posting yet,,unknown; scraper records first-seen dates from now on
Groq,big,greenhouse,FETCHER FAILING for 48 runs: HTTPError: HTTP Error 404: Not Found,,unknown; scraper records first-seen dates from now on
HP,big,workday,no spring/co-op posting yet,,unknown; scraper records first-seen dates from now on
Honeywell,big,oracle_hcm,no spring/co-op posting yet,,unknown; scraper records first-seen dates from now on
Hudson River Trading,big,greenhouse,no spring/co-op posting yet,,unknown; scraper records first-seen dates from now on
IMC,big,greenhouse,no spring/co-op posting yet,,unknown; scraper records first-seen dates from now on
Infineon,big,eightfold,FETCHER FAILING for 49 runs: HTTPError: HTTP Error 403: FORBIDDEN,,unknown; scraper records first-seen dates from now on
Intel,big,workday,no spring/co-op posting yet,,unknown; scraper records first-seen dates from now on
Jump Trading,big,greenhouse,no spring/co-op posting yet,,unknown; scraper records first-seen dates from now on
Juniper Networks,big,oracle_hcm,no spring/co-op posting yet,,unknown; scraper records first-seen dates from now on
KLA,big,workday,no spring/co-op posting yet,,unknown; scraper records first-seen dates from now on
Keysight,big,icims,no spring/co-op posting yet,,unknown; scraper records first-seen dates from now on
Lam Research,big,eightfold,FETCHER FAILING for 48 runs: HTTPError: HTTP Error 403: FORBIDDEN,,unknown; scraper records first-seen dates from now on
Lambda,big,ashby,no spring/co-op posting yet,,unknown; scraper records first-seen dates from now on
Lockheed Martin,big,eightfold,FETCHER FAILING for 48 runs: HTTPError: HTTP Error 403: FORBIDDEN,,unknown; scraper records first-seen dates from now on
Lucid Motors,big,greenhouse,no spring/co-op posting yet,,unknown; scraper records first-seen dates from now on
Lumentum,big,workday,no spring/co-op posting yet,,unknown; scraper records first-seen dates from now on
MIT Lincoln Laboratory,big,successfactors_csb,FETCHER FAILING for 48 runs: HTTPError: HTTP Error 401: 401,,unknown; scraper records first-seen dates from now on
Marvell,big,workday,no spring/co-op posting yet,,unknown; scraper records first-seen dates from now on
MaxLinear,big,icims,no spring/co-op posting yet,,unknown; scraper records first-seen dates from now on
May Mobility,big,greenhouse,no spring/co-op posting yet,,unknown; scraper records first-seen dates from now on
Microchip,big,workday,no spring/co-op posting yet,,unknown; scraper records first-seen dates from now on
Micron,big,eightfold,FETCHER FAILING for 49 runs: HTTPError: HTTP Error 403: FORBIDDEN,,unknown; scraper records first-seen dates from now on
Monolithic Power Systems,big,workday,no spring/co-op posting yet,,unknown; scraper records first-seen dates from now on
Motional,big,greenhouse,no spring/co-op posting yet,,unknown; scraper records first-seen dates from now on
NVIDIA,big,workday,no spring/co-op posting yet,2025-08-24,around 08-24 (last year)
Northrop Grumman,big,workday,no spring/co-op posting yet,,unknown; scraper records first-seen dates from now on
Nuro,big,greenhouse,no spring/co-op posting yet,,unknown; scraper records first-seen dates from now on
Onto Innovation,big,workday,no spring/co-op posting yet,,unknown; scraper records first-seen dates from now on
OpenAI,big,ashby,no spring/co-op posting yet,,unknown; scraper records first-seen dates from now on
Optiver,big,greenhouse,no spring/co-op posting yet,,unknown; scraper records first-seen dates from now on
Oura,big,greenhouse,no spring/co-op posting yet,,unknown; scraper records first-seen dates from now on
Physical Intelligence,big,ashby,no spring/co-op posting yet,,unknown; scraper records first-seen dates from now on
Planet Labs,big,greenhouse,no spring/co-op posting yet,,unknown; scraper records first-seen dates from now on
Qorvo,big,successfactors_csb,FETCHER FAILING for 48 runs: HTTPError: HTTP Error 401: 401,,unknown; scraper records first-seen dates from now on
Qualcomm,big,eightfold,FETCHER FAILING for 49 runs: HTTPError: HTTP Error 403: FORBIDDEN,,unknown; scraper records first-seen dates from now on
Rambus,big,icims,no spring/co-op posting yet,,unknown; scraper records first-seen dates from now on
Renesas,big,smartrecruiters,no spring/co-op posting yet,,unknown; scraper records first-seen dates from now on
SK hynix America,big,greenhouse,no spring/co-op posting yet,,unknown; scraper records first-seen dates from now on
Samsung Semiconductor,big,workday,no spring/co-op posting yet,,unknown; scraper records first-seen dates from now on
Scale AI,big,greenhouse,no spring/co-op posting yet,,unknown; scraper records first-seen dates from now on
Semtech,big,workday,no spring/co-op posting yet,,unknown; scraper records first-seen dates from now on
SiFive,big,workday,no spring/co-op posting yet,,unknown; scraper records first-seen dates from now on
Silicon Labs,big,workday,no spring/co-op posting yet,,unknown; scraper records first-seen dates from now on
Sonos,big,workday,no spring/co-op posting yet,,unknown; scraper records first-seen dates from now on
Teledyne FLIR,big,workday,no spring/co-op posting yet,,unknown; scraper records first-seen dates from now on
Torc Robotics,big,greenhouse,no spring/co-op posting yet,,unknown; scraper records first-seen dates from now on
Vicor,big,successfactors_csb,FETCHER FAILING for 48 runs: HTTPError: HTTP Error 401: 401,,unknown; scraper records first-seen dates from now on
WHOOP,big,ashby,no spring/co-op posting yet,,unknown; scraper records first-seen dates from now on
Waabi,big,lever,no spring/co-op posting yet,,unknown; scraper records first-seen dates from now on
Waymo,big,greenhouse,no spring/co-op posting yet,,unknown; scraper records first-seen dates from now on
Wayve,big,ashby,no spring/co-op posting yet,,unknown; scraper records first-seen dates from now on
Western Digital,big,smartrecruiters,no spring/co-op posting yet,,unknown; scraper records first-seen dates from now on
Wolfspeed,big,workday,no spring/co-op posting yet,,unknown; scraper records first-seen dates from now on
Zoox,big,lever,no spring/co-op posting yet,,unknown; scraper records first-seen dates from now on
iRobot,big,workday,FETCHER FAILING for 48 runs: HTTPError: HTTP Error 422: Unprocessable Entity,,unknown; scraper records first-seen dates from now on
Agility Robotics,startup,greenhouse,no spring/co-op posting yet,,unknown; scraper records first-seen dates from now on
Ambiq,startup,greenhouse,no spring/co-op posting yet,,unknown; scraper records first-seen dates from now on
Anello Photonics,startup,greenhouse,no spring/co-op posting yet,,unknown; scraper records first-seen dates from now on
Apptronik,startup,greenhouse,no spring/co-op posting yet,,unknown; scraper records first-seen dates from now on
Astera Labs,startup,greenhouse,no spring/co-op posting yet,,unknown; scraper records first-seen dates from now on
Atom Computing,startup,lever,no spring/co-op posting yet,,unknown; scraper records first-seen dates from now on
Atomic Semi,startup,ashby,FETCHER FAILING for 48 runs: HTTPError: HTTP Error 404: Not Found,2025-08-15,around 08-15 (last year)
Butterfly Network,startup,greenhouse,no spring/co-op posting yet,,unknown; scraper records first-seen dates from now on
Cerebras,startup,ashby,no spring/co-op posting yet,,unknown; scraper records first-seen dates from now on
ChipAgents,startup,ashby,no spring/co-op posting yet,,unknown; scraper records first-seen dates from now on
Dexterity,startup,lever,no spring/co-op posting yet,,unknown; scraper records first-seen dates from now on
Eliyan,startup,lever,no spring/co-op posting yet,,unknown; scraper records first-seen dates from now on
Empower Semiconductor,startup,workday,no spring/co-op posting yet,,unknown; scraper records first-seen dates from now on
Epirus,startup,greenhouse,no spring/co-op posting yet,,unknown; scraper records first-seen dates from now on
